country_code,state,icao,latitude,longitude
US,Texas,KBPG,32.2126,-101.522
US,Texas,KHLR,31.1387,-97.7145
US,Texas,KHOU,29.6454,-95.2789
US,Texas,KHPY,29.7861,-94.9527
US,Texas,KHRL,26.2285,-97.6544
US,Texas,KUTS,30.7469,-95.5872
US,Texas,KIAH,29.9844,-95.3414
US,Texas,KILE,31.0858,-97.6865
US,Texas,KINK,31.7796,-103.201
US,Texas,KIWS,29.8182,-95.6726
US,Texas,KJAS,30.8857,-94.0349
US,Texas,KJCT,30.5113,-99.7635
US,Texas,KJSO,31.8693,-95.2174
US,Texas,KCWC,33.8578,-98.4904
US,Texas,KLBB,33.6636,-101.823
US,Texas,KLFK,31.234,-94.75
US,Texas,KLBX,29.1086,-95.4621
US,Texas,KLRD,27.5438,-99.4616
US,Texas,KMAF,31.9425,-102.202
US,Texas,KMDD,32.0365,-102.101
US,Texas,KMFE,26.1758,-98.2386
US,Texas,KOSA,32.8981,-79.7828
US,Texas,KMRF,30.3711,-104.018
US,Texas,KMWL,32.7816,-98.0602
US,Texas,KNGP,27.6926,-97.2911
US,Texas,KNGW,27.7027,-97.4389
US,Texas,KNQI,27.5072,-97.8097
US,Texas,KOCH,31.578,-94.7095
US,Texas,KONY,33.3522,-98.7915
US,Texas,KOZA,30.7353,-101.203
US,Texas,KPEQ,31.3824,-103.511
US,Texas,KGYI,33.7141,-96.6737
US,Texas,KPPA,35.613,-100.996
US,Texas,KPRX,33.6366,-95.4508
US,Texas,KPSN,31.7797,-95.7063
US,Texas,KPSX,28.7275,-96.251
US,Texas,KPVW,34.1681,-101.717
US,Texas,KRBD,32.6809,-96.8682
US,Texas,KRCK,30.6316,-96.9897
US,Texas,KRFG,28.2886,-97.318
US,Texas,KRKP,28.0868,-97.0446
US,Texas,KRND,29.5297,-98.2789
US,Texas,KSAT,29.5337,-98.4698
US,Texas,KSEP,32.2153,-98.1777
US,Texas,KSGR,29.6223,-95.6565
US,Texas,KSJT,31.3577,-100.496
US,Texas,KSKF,29.3842,-98.5811
US,Texas,KSLR,33.1598,-95.6211
US,Texas,KSNK,32.6934,-100.95
US,Texas,KSPS,33.9888,-98.4919
US,Texas,KSSF,29.337,-98.4711
US,Texas,KSWW,32.4674,-100.467
US,Texas,KTDW,35.1699,-101.826
US,Texas,KTPL,31.1525,-97.4078
US,Texas,KTRL,32.7092,-96.2674
US,Texas,KTYR,32.3541,-95.4024
US,Texas,KUVA,29.2113,-99.7436
US,Texas,KVCT,28.8526,-96.9185
US,Texas,KVHN,31.0578,-104.784
US,Texas,KWEA,32.7463,-97.6824
US,Texas,KARM,29.2543,-96.1544
US,Utah,KBCE,37.7064,-112.145
US,Utah,KBDG,37.5833,-109.483
US,Utah,KBMC,41.5524,-112.062
US,Utah,KBTF,40.8694,-111.927
US,Utah,KCDC,37.701,-113.099
US,Utah,KCNY,38.755,-109.755
US,Utah,KDPG,40.1994,-112.937
US,Utah,KDTA,39.3806,-112.508
US,Utah,KENV,40.7187,-114.031
US,Utah,KFOM,38.9583,-112.363
US,Utah,KHIF,41.124,-111.973
US,Utah,KHVE,38.418,-110.704
US,Utah,KKNB,37.0106,-112.531
US,Utah,KLGU,41.7912,-111.852
US,Utah,KMLF,38.6097,-112.986
US,Utah,KOGD,41.1959,-112.012
US,Utah,KPUC,39.6139,-110.751
US,Utah,KPVU,40.2192,-111.723
US,Utah,KRIF,38.7364,-112.099
US,Utah,KSGU,37.0364,-113.51
US,Utah,KSLC,40.7884,-111.978
US,Utah,KVEL,40.4409,-109.51
US,Vermont,KBTV,44.4719,-73.1533
US,Vermont,KEFK,44.8888,-72.2292
US,Vermont,KCDA,44.5691,-72.018
US,Vermont,KMPV,44.2035,-72.5623
US,Vermont,KMVL,44.5346,-72.614
US,Vermont,KRUT,43.5294,-72.9496
US,Vermont,KVSF,43.3436,-72.5173
US,Virginia,KAPH,38.0689,-77.3183
US,Virginia,KBCB,37.2076,-80.4078
US,Virginia,KBKT,37.0742,-77.9575
US,Virginia,KCHO,38.1386,-78.4529
US,Virginia,KDAA,38.715,-77.181
US,Virginia,KDAN,36.5729,-79.3361
US,Virginia,KDCA,38.8522,-77.0378
US,Virginia,KNDY,38.3325,-77.0372
US,Virginia,KFAF,37.1325,-76.6088
US,Virginia,KFKN,36.6981,-76.9038
US,Virginia,KFRR,38.9175,-78.2535
US,Virginia,KGVE,38.156,-78.1658
US,Virginia,KHSP,37.9514,-79.8339
US,Virginia,KIAD,38.9445,-77.4558
US,Virginia,KLFI,37.0829,-76.3605
US,Virginia,KLNP,36.9875,-82.53
US,Virginia,KLKU,38.0098,-77.9701
US,Virginia,KLVL,36.7728,-77.7943
US,Virginia,KLYH,37.3267,-79.2004
US,Virginia,KMFV,37.6469,-75.7611
US,Virginia,KHEF,38.7214,-77.5154
US,Virginia,KNGU,36.9376,-76.2893
US,Virginia,KNTU,36.8207,-76.0335
US,Virginia,KNYG,38.5017,-77.3053
US,Virginia,KORF,36.8946,-76.2012
US,Virginia,KPHF,37.1319,-76.493
US,Virginia,KPSK,37.1373,-80.6785
US,Virginia,KPTB,37.1838,-77.5074
US,Virginia,KRIC,37.5052,-77.3197
US,Virginia,KROA,37.3255,-79.9754
US,Virginia,KSHD,38.2638,-78.8964
US,Virginia,KVJI,36.6871,-82.0333
US,Virginia,KWAL,37.9402,-75.4664
US,Virginia,KOKV,39.1435,-78.1444
US,Washington,KALW,46.0949,-118.288
US,Washington,KBFI,47.53,-122.302
US,Washington,KBLI,48.7928,-122.538
US,Washington,KCLM,48.1202,-123.5
US,Washington,KCLS,46.677,-122.983
US,Washington,KEAT,47.3989,-120.207
US,Washington,KELN,47.033,-120.531
US,Washington,KEPH,47.3076,-119.516
US,Washington,KORS,48.7082,-122.91
US,Washington,KESW,47.2542,-121.186
US,Washington,KFHR,48.522,-123.024
US,Washington,KGEG,47.6199,-117.534
US,Washington,KGRF,47.0792,-122.581
US,Washington,KHQM,46.9712,-123.937
US,Washington,KKLS,46.118,-122.898
US,Washington,KBVS,48.4709,-122.421
US,Washington,KMWH,47.2077,-119.32
US,Washington,KNUW,48.3518,-122.656
US,Washington,KOKH,48.2515,-122.674
US,Washington,KOLM,46.9694,-122.903
US,Washington,KOMK,48.4644,-119.518
US,Washington,KPAE,47.9063,-122.282
US,Washington,KPSC,46.2647,-119.119
US,Washington,KPUW,46.7439,-117.11
US,Washington,KPWT,47.4902,-122.765
US,Washington,KRLD,46.3056,-119.304
US,Washington,KRNT,47.4931,-122.216
US,Washington,KSEA,47.449,-122.309
US,Washington,KSFF,47.6828,-117.323
US,Washington,KSHN,47.2336,-123.148
US,Washington,KSKA,47.6151,-117.656
US,Washington,KTCM,47.1377,-122.476
US,Washington,KTDO,46.4772,-122.806
US,Washington,KTIW,47.2679,-122.578
US,Washington,KUIL,47.9366,-124.563
US,Washington,KYKM,46.5682,-120.544
US,West Virginia,KBKW,37.7873,-81.1242
US,West Virginia,KBLF,37.2958,-81.2077
US,West Virginia,KCKB,39.2966,-80.2281
US,West Virginia,KCRW,38.3731,-81.5932
US,West Virginia,KEKN,38.8894,-79.8571
US,West Virginia,KHLG,40.175,-80.6463
US,West Virginia,KHTS,38.3667,-82.558
US,West Virginia,KLWB,37.8583,-80.3995
US,West Virginia,KMGW,39.6429,-79.9163
US,West Virginia,KMRB,39.4019,-77.9846
US,West Virginia,KPKB,39.3451,-81.4392
US,Wisconsin,KAHH,45.2811,-92.3754
US,Wisconsin,KARV,45.9279,-89.7309
US,Wisconsin,KASX,46.5485,-90.919
US,Wisconsin,KATW,44.2581,-88.5191
US,Wisconsin,KAUW,44.9262,-89.6266
US,Wisconsin,KCLI,44.6138,-88.7313
US,Wisconsin,KCMY,43.9583,-90.7379
US,Wisconsin,KCWA,44.7776,-89.6668
US,Wisconsin,KEAU,44.8658,-91.4843
US,Wisconsin,KEGV,45.9323,-89.2683
US,Wisconsin,KENW,42.5957,-87.9278
US,Wisconsin,KETB,43.4222,-88.1279
US,Wisconsin,KFLD,43.7712,-88.4884
US,Wisconsin,KGRB,44.4851,-88.1296
US,Wisconsin,KGTG,45.7981,-92.6644
US,Wisconsin,KHYR,46.0252,-91.4443
US,Wisconsin,KISW,44.3603,-89.839
